자동차등록번호,운행기록장치모델명,TRIP운행거리,누적운행거리,평균운행속도,최고속도,TRIP운행시간,장기운행유무,운행중정지건수,운행중주행시간,최고RPM,평균RPM,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수
1111,"DT-202,5.07.15",299,431844,17.82,57,60419,1,832,41319,1620,924,2,0,3,0,0,0,0,0,0
1112,"DT-202,5.07.15",286,402323,18.26,62,56393,1,818,39322,1592,931,1,0,1,0,26,12,0,8,19
1113,"DT-202,5.07.15",311,443480,17.96,61,62325,1,834,43986,1606,926,1,0,0,0,17,9,2,6,31
1114,"DT-202,5.07.15",215,111809,14.08,48,54970,1,754,38513,1780,798,0,0,0,0,8,0,2,0,0
1115,"DT-202,5.07.17",250,230163,16.17,57,55673,1,697,39454,1720,780,0,0,0,0,16,5,0,0,15
1116,"DT-201A,4.04.54,K",266,428920,16.82,62,56933,1,713,41469,1709,820,0,0,3,0,31,9,4,0,11
1117,"DT-201A,4.04.54,K",262,432548,16.02,57,58880,1,662,42575,1822,785,0,0,0,0,19,5,3,1,13
1118,"DT-202,5.07.15",248,226343,16.83,55,53056,1,711,39167,1680,804,0,0,0,0,17,7,0,0,7
1119,"DT-201A,4.04.54,K",249,382584,16.31,57,54976,1,685,39443,2100,733,0,0,0,0,13,1,2,0,12
1120,"DT-202,5.07.17",236,320108,15.57,64,54584,1,809,38834,1700,874,0,0,0,3,6,12,3,2,6
1121,"DT-202,5.07.15",238,298114,16.09,57,53264,1,831,39519,1840,887,0,0,0,0,18,7,0,0,30
1122,"DT-202,5.07.17",237,355274,15.84,56,53855,1,860,39569,1820,889,0,0,0,0,10,5,3,1,8
1123,"DT-202,5.07.15",195,297215,16.24,60,43230,1,620,32058,1814,865,0,0,0,1,10,6,1,1,9
1124,"DT-202,5.07.15",242,336170,15.74,60,55353,1,858,39344,1640,866,0,0,2,1,8,11,1,1,8
1125,"DT-202,5.07.17",273,179103,16.46,65,59714,1,887,42095,1576,867,0,0,1,0,15,18,6,1,2
1126,"DT-202,5.07.15",271,301322,14.37,58,67910,1,915,45188,1540,614,0,0,0,0,7,2,1,0,8
1127,"DT-202,6.01.08",283,94255,16.3,55,62492,1,887,43049,1602,671,0,0,1,0,9,5,0,0,27
1128,"DT-202,5.07.15",249,299496,13.88,54,64597,1,864,40481,1440,634,0,0,0,0,17,11,1,3,4
1129,"DT-202,5.07.15",295,296636,17.05,61,62283,1,872,44225,1647,855,0,0,0,1,10,4,0,8,64
1130,"DT-202,5.07.15",245,142107,15.07,59,58518,1,909,42031,1580,830,4,0,2,0,6,1,3,4,29
1131,"DT-202,5.07.15",225,338686,14.1,60,57458,1,741,37917,1520,637,0,0,0,0,17,7,0,1,6
1132,"DT-202,5.07.15",152,342573,13,59,42103,1,545,25781,1660,614,0,0,0,0,9,3,0,2,5
1133,"DT-202,5.07.15",293,257954,16.65,62,63341,1,933,41821,1602,908,0,0,4,0,13,7,0,6,16
1134,"DT-202,5.07.15",226,143905,15.25,57,53354,1,822,36676,1651,842,1,0,1,0,12,3,2,1,30
1135,"DT-202,5.07.15",225,343240,13.86,56,58435,1,746,39385,1400,624,0,0,0,0,10,5,1,1,7
1136,"DT-202,5.07.15",226,338123,13.49,56,60290,1,825,39010,1380,593,0,0,1,0,3,4,0,0,13
1137,"DT-202,5.07.16",289,119460,16.42,57,63363,1,850,43284,1369,646,0,0,0,0,14,4,0,0,24
1138,"DT-202,5.07.16",289,121104,16.42,59,63363,1,866,43500,2399,702,0,0,1,0,9,6,0,0,20
1139,"DT-202,6.01.30",225,9747,14.78,60,54801,1,849,38700,1618,654,0,0,0,0,11,2,0,1,24
1140,"DT-202,6.01.33",225,11296,14.97,56,54121,1,860,37653,1393,643,0,0,0,0,12,4,0,2,23
1141,"DT-202,6.01.12",220,46377,14.68,55,53962,1,839,38730,1399,654,0,0,0,1,10,4,0,0,23
1142,"DT-202,6.01.39",226,4263,15.11,55,53835,1,842,37522,2383,657,1,0,0,0,14,7,0,1,19
1143,"DT-201A,4.04.26,0K",215,48972,15.4,58,50245,1,703,37275,1580,681,0,0,0,0,12,5,0,2,7
1144,"DT-202,5.07.15",231,304649,13.45,56,61851,1,780,40029,1320,581,0,0,0,0,10,2,1,0,7
1145,"DT-202,5.07.16",187,123620,16.67,58,40377,1,566,26081,1855,813,5,0,0,0,9,3,0,1,16
1146,"DT-202,6.01.12",225,43089,15.05,54,53814,1,784,39616,1518,657,0,0,0,0,13,5,0,1,19
1147,"DT-202,6.01.12",243,54007,15.93,55,54928,1,692,39702,1463,636,0,0,0,0,6,4,0,0,23
1148,"DT-202,5.07.15",310,51368,17.62,61,63355,1,840,44949,1780,923,1,0,2,2,0,0,0,0,0
